product_name,price_per_kg,units_shipped_kg,units_sold_kg,units_on_hand_kg,supplier,farm_location,sale_date,sales_growth,product_id_09728c35-ae6c-4ac6-a7b4-eff32b3574c3,product_id_0985f295-bb82-484f-9cab-76637e8e8bdb,product_id_0bd5bf2b-be0a-4ba0-aa92-059021b169e3,product_id_0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,product_id_10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,product_id_1c48eb53-85bc-4b76-92ef-97d240a8a227,product_id_28f45387-03b8-48f9-b67c-d921d29f60b6,product_id_3b5d009c-ae38-4a53-9c94-f1853d67f882,product_id_3b87981b-375b-494a-9b11-00bf7144143a,product_id_403d5331-41ba-4a1a-86d2-e1599b965c1b,product_id_4a0f8862-c851-4073-bc17-3a3d93834902,product_id_57ad2178-9598-4981-b0f7-78a91162821e,product_id_5feb3ab1-f866-4401-b84a-d4d4d6168c8f,product_id_6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,product_id_7ba3ccef-363a-40c5-9bbd-a451068846c5,product_id_857e56ee-a962-479e-99f0-983999e858bd,product_id_8a279b7d-f76f-44c1-8df6-e7db17a391d6,product_id_8dc0c292-d59b-4692-bcc4-2003c0177ea7,product_id_8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,product_id_921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,product_id_9bb2d8db-a7ac-4d40-9d3c-0c96cafe7153,product_id_b12c721e-8301-4b08-8ac3-d435be9b8b32,product_id_be996df6-1780-4352-8b7d-1f927279aa49,product_id_c0e9f888-f1d2-4b5b-a6e9-3c349f68aed0,product_id_c81f400e-c19f-417f-99fb-039a19506e85,product_id_dd7f2ac0-a03a-487d-bf43-96d8415c3a60,product_id_e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,product_id_f0fa3446-1398-417a-bda7-de131121a15b,category_Dairy,category_Fruits,category_Grains,category_Livestock,category_Vegetables
Corn,0.57,3903,3549,354,Organic Grain Collective,"East Dusty, AR",2022-10-07,0.2021300831529787,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Grapes,4.78,47471,6197,41274,Citrus World Inc.,"East Nathen, SC",2022-02-05,17.505649717514125,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Butter,5.71,5343,2204,3139,Fresh Dairy Farms,"Hesselburgh, NV",2022-02-06,0.05339923438484276,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Butter,4.61,4320,2980,1340,Organic Valley,"Rhiannonworth, IA",2022-11-14,0.949346925772539,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Pork,8.33,45590,1400,44190,Organic Meats Co.,"Devonton, MS",2023-07-26,1.044776119402985,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Milk,1.11,37399,30079,7320,Dairyland Co-op,"South Waltonbury, CT",2023-02-03,0.6806743607150939,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Beef,8.33,24476,17198,7278,Organic Meats Co.,"Stammberg, VA",2023-08-10,2.349453551912568,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Pork,7.96,24880,22857,2023,Ranchers Pride,"East Leone, IL",2023-04-07,3.140560593569662,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Grapes,3.76,29897,14133,15764,Berry Fields,"Gleichnermouth, ME",2022-09-01,6.986159169550173,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Wheat,0.42,19030,14222,4808,Golden Harvest Agriculture,"Oceanside, SD",2022-02-27,0.9021821872621162,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Chicken,3.41,12505,977,11528,Ranchers Pride,"Paucekfield, WA",2023-07-18,0.20320299500831948,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Chicken,3.05,36294,13084,23210,Organic Meats Co.,"Carrollton, TN",2023-07-20,1.1349757113115893,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Rice,1.19,1375,463,912,Midwest Grains Co.,"East Jordonfort, AL",2023-04-25,0.01994829814735028,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Oats,0.79,25816,18541,7275,Midwest Grains Co.,"New Mauricio, ME",2023-11-11,20.330043859649123,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Cheese,7.9,49280,41151,8129,Dairyland Co-op,"Fosterfort, WI",2022-09-12,5.656494845360824,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tomatoes,2.62,22113,16837,5276,Green Valley Farms,"Lake Ephraimtown, WA",2023-01-21,2.071226473120925,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Butter,4.3,19689,822,18867,Happy Cows Dairy,"Port Tina, MD",2022-05-29,0.15579984836997726,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Onions,0.88,19891,7328,12563,Green Valley Farms,"Ankundingshire, CA",2023-11-22,0.38840303174855567,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Pork,7.81,8602,3194,5408,Prime Meats LLC,"West Chynacester, VT",2023-01-21,0.2542386372681684,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Lamb,13.53,40482,10082,30400,Country Fresh Meats,"North Kathleen, TN",2023-08-09,1.864275147928994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Barley,0.64,7141,5543,1598,Organic Grain Collective,"Lake Sylvan, DE",2022-06-01,0.18233552631578948,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Butter,4.78,39744,6722,33022,Fresh Dairy Farms,"Hellerfort, CT",2023-11-03,4.206508135168961,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Tomatoes,2.22,11295,6816,4479,Nature's Best Produce,"Miguelfurt, NH",2023-07-31,0.2064078493125795,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Milk,1.32,28934,1462,27472,Happy Cows Dairy,"Charlottesville, RI",2022-01-06,0.3264121455682072,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Oats,0.69,31962,18205,13757,Farmers Grain Union,"Goldnerview, ME",2023-08-19,0.6626747233546884,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Beef,9.77,15847,7836,8011,Country Fresh Meats,"West Reyesworth, NY",2022-11-21,0.5696009304354147,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Corn,0.61,20024,18321,1703,Golden Harvest Agriculture,"Nathanialmouth, RI",2023-08-26,2.2869804019473223,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Grapes,4.66,12310,8774,3536,Citrus World Inc.,"West Sammy, AR",2022-12-16,5.152084556664709,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Yogurt,3.26,13232,9284,3948,Fresh Dairy Farms,"Lake Charles, WA",2023-03-07,2.6255656108597285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Onions,1.04,44956,4017,40939,Sunrise Agriculture,"Lakeland, OK",2022-12-09,1.0174772036474165,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Rice,0.85,40672,12917,27755,Midwest Grains Co.,"Antwonside, WI",2022-04-11,0.3155182100197855,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Cabbage,0.6,30997,23809,7188,Fresh Harvest Co.,"East Sunnyport, VA",2022-09-18,0.8578274184831561,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Tomatoes,2.74,23215,12923,10292,Green Valley Farms,"Watsicaworth, CT",2023-12-18,1.7978575403450194,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Milk,1.17,11512,428,11084,Fresh Dairy Farms,"Borerbury, TN",2022-06-18,0.041585697629226585,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tomatoes,2.94,9333,6172,3161,Sunrise Agriculture,"West Corene, LA",2022-09-11,0.5568386863948033,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Potatoes,0.9,38677,3334,35343,Sunrise Agriculture,"Lake Michel, LA",2022-02-08,1.0547295159759569,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Lamb,9.71,13086,4984,8102,Ranchers Pride,"Lake Irvingchester, NM",2022-03-12,0.14101802337096456,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Apples,2.85,42056,34931,7125,Berry Fields,"Swiftshire, VT",2023-08-28,4.311404591458899,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Corn,0.6,11595,4603,6992,Midwest Grains Co.,"Kshlerinburgh, TN",2023-12-10,0.6460350877192983,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bananas,1.24,14653,12098,2555,Orchard Lane Farms,"Fort Domenickhaven, IN",2022-07-25,1.730263157894737,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Beef,8.48,48977,37597,11380,Organic Meats Co.,"Milford, NY",2022-07-13,14.715068493150685,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Milk,1.07,11085,3462,7623,Happy Cows Dairy,"Favianboro, MI",2022-01-03,0.30421792618629173,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Beef,11.3,12087,11041,1046,Ranchers Pride,"Justinachester, CT",2023-09-17,1.4483799029253575,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Peaches,3.87,39937,11603,28334,Orchard Lane Farms,"Hayleyfurt, AR",2023-02-16,11.092734225621415,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Lettuce,1.07,7251,2407,4844,Sunrise Agriculture,"McDermottboro, NC",2022-06-07,0.08495094233076869,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Oats,0.71,39472,39469,3,Midwest Grains Co.,"Port Gustave, KY",2022-04-12,8.148018166804293,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Tomatoes,2.91,26982,54,26928,Green Valley Farms,"Brockton, TN",2023-02-26,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Bananas,1.36,25760,21951,3809,Orchard Lane Farms,"East Eldred, UT",2022-06-10,0.8151737967914439,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Cheese,6.76,34855,13223,21632,Happy Cows Dairy,"Turnertown, WA",2023-06-15,3.4715148332895773,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Milk,0.98,22883,2852,20031,Fresh Dairy Farms,"Joshuabury, PA",2023-09-29,0.13184171597633135,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Milk,1.39,38950,34413,4537,Fresh Dairy Farms,"Redding, AK",2022-02-26,1.7179871199640557,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Wheat,0.44,3948,1405,2543,Golden Harvest Agriculture,"Tucson, NM",2022-11-17,0.30967599735508045,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Corn,0.48,24624,5799,18825,Golden Harvest Agriculture,"Jessikaboro, WI",2023-08-26,2.280377506881636,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Blueberries,7.16,24022,20708,3314,Berry Fields,"Cupertino, NV",2023-05-07,1.1000265604249668,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bananas,1.32,10816,6082,4734,Orchard Lane Farms,"Hesperia, MD",2022-03-31,1.835244417622209,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Peaches,3.02,34084,5218,28866,Citrus World Inc.,"Konopelskiville, VT",2023-07-03,1.102239121250528,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Oranges,2.71,45899,45596,303,Berry Fields,"West Ethan, KY",2022-11-10,1.579574586018153,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Milk,1.3,39651,25249,14402,Happy Cows Dairy,"North Lew, IN",2023-10-22,83.33003300330033,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pork,7.4,31082,5536,25546,Organic Meats Co.,"Caterinaworth, LA",2022-03-21,0.384391056797667,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Cheese,8.83,38504,15519,22985,Fresh Dairy Farms,"Parisianfurt, HI",2023-06-01,0.6074923667110311,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Peaches,3.22,36322,3469,32853,Citrus World Inc.,"Fort Edgardofield, WI",2022-01-09,0.15092451598868828,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Cheese,8.38,29686,21799,7887,Happy Cows Dairy,"East Emmanuelleton, TX",2022-09-27,0.6635314887529297,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Peaches,4.05,46850,35111,11739,Orchard Lane Farms,"Collierville, MA",2023-05-21,4.451756054266514,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Tomatoes,2.91,39479,605,38874,Fresh Harvest Co.,"Kearny, NJ",2023-03-29,0.05153760967714456,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Peppers,1.92,11098,1801,9297,Green Valley Farms,"West Gerard, VT",2023-11-15,0.04632916602356331,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Lettuce,1.06,42261,26889,15372,Nature's Best Produce,"Fort Cleora, AR",2022-10-16,2.8922232978380125,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Lamb,13.39,32298,30528,1770,Prime Meats LLC,"New Alana, NC",2023-06-15,1.9859484777517564,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Blueberries,5.14,8114,4459,3655,Orchard Lane Farms,"Cadenhaven, DE",2023-01-24,2.5192090395480227,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Peaches,3.94,41005,8662,32343,Berry Fields,"West Edwinastead, HI",2023-07-27,2.3699042407660738,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Strawberries,5.85,16766,16763,3,Orchard Lane Farms,"Adamsfort, AZ",2022-08-28,0.5182883467829206,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Yogurt,3.44,40904,14500,26404,Happy Cows Dairy,"Osinskiport, AL",2022-08-05,4833.333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Oats,0.92,33148,32268,880,Midwest Grains Co.,"Franeckibury, LA",2022-02-21,1.2220875624905316,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Blueberries,5.95,9828,5773,4055,Berry Fields,"Hegmannton, IA",2023-09-06,6.560227272727273,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Milk,1.35,5840,4406,1434,Fresh Dairy Farms,"Lake Frederick, MN",2022-01-17,1.0865598027127004,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Corn,0.49,26061,8705,17356,Midwest Grains Co.,"West Mariam, MS",2023-11-10,6.070432357043236,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Chicken,2.74,14044,4938,9106,Country Fresh Meats,"Grand Island, CA",2022-07-20,0.28451256049781054,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Potatoes,0.82,30380,22161,8219,Fresh Harvest Co.,"Marquesmouth, MI",2023-10-02,2.4336701076213485,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Milk,1.17,43706,14559,29147,Happy Cows Dairy,"Tempe, ME",2022-01-11,1.7713833799732328,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Butter,5.47,44602,23822,20780,Happy Cows Dairy,"Ellicott City, FL",2022-08-21,0.8173053830582907,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
